_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
66614859ca2df50192ae8e38,,34.4,84.13,50.4,62.92,43;6;0;2,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717651545000
66614844ca2df50192ae8d9e,,35.98,91.8,48.77,58.43,45;3;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717651524000
66614833ca2df50192ae8d17,,40.76,82.67,59.95,58.08,51;9;0;3,time,15,-1,0,15.01,1,0,true,true,english,none,normal,false,false,false,,1717651507000
66613abaca2df50192ae2033,,53.58,100,53.58,73.05,67;0;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717648058000
66613aa7ca2df50192ae1f93,,43.17,95.77,56.76,78.92,54;1;0;1,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717648039000
66613a96ca2df50192ae1f07,,53.58,95.95,59.18,69.07,67;2;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717648022000
66613a81ca2df50192ae1e5d,,34.4,90,56,68.06,43;4;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717648001000
66613a71ca2df50192ae1dcb,,52.78,94.81,61.57,69.11,66;2;0;1,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717647985000
66613a5eca2df50192ae1d2b,,62.39,100,62.39,81.16,78;0;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717647966000
66613a4dca2df50192ae1ca3,,41.59,88.31,61.59,81.36,52;5;1;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717647949000
66613a39ca2df50192ae1bfb,,47.19,94.12,54.38,61.5,59;3;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717647929000
666139ffca2df50192ae1a22,,48,95.59,54.4,76.02,60;2;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717647871000
666139eaca2df50192ae1976,,44.78,95.24,50.38,37.11,56;1;1;0,time,15,-1,0,15.01,1,0,true,true,english,none,normal,false,false,false,,1717647850000
66603b74ca2df50192a4bb5a,,23.99,82.14,44.79,52.69,30;4;3;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717582708000
66603b64ca2df50192a4bac6,,55.97,96.15,62.36,70.88,70;1;0;1,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717582692000
66603b50ca2df50192a4ba10,,35.97,80,59.95,68.17,45;9;1;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717582672000
66603b3fca2df50192a4b959,,52.78,94.74,60.78,71.66,66;2;1;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717582655000
66603b2dca2df50192a4b8b3,,40.8,84.93,58.39,61.13,51;7;0;1,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717582637000
66603b1bca2df50192a4b804,,55.15,97.3,59.15,69.07,69;1;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717582619000
66603b0aca2df50192a4b775,,55.99,92.11,60.79,75.6,70;6;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717582602000
66603af8ca2df50192a4b6c6,,54.33,93.98,66.32,77.27,68;3;0;0,time,15,-1,0,15.02,0,0,true,true,english,none,normal,false,false,false,,1717582584000
66603ae6ca2df50192a4b601,,42.4,92.31,52,59.03,53;3;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717582566000
66603ad5ca2df50192a4b565,,47.2,89.87,63.2,65.02,59;4;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717582549000
66603ac3ca2df50192a4b4ba,,43.97,90.14,56.77,55.42,55;3;1;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717582531000
66603ab1ca2df50192a4b413,,35.99,89.23,51.98,59.9,45;4;0;1,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717582513000
66603aa0ca2df50192a4b36f,,40.78,83.1,56.78,61.09,51;8;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717582496000
66603a8dca2df50192a4b2cb,,40,83.82,54.4,68.95,50;9;0;1,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717582477000
66603a7dca2df50192a4b236,,47.19,90.14,56.79,71.69,59;4;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717582461000
66603a6bca2df50192a4b1ad,,45.59,88.46,62.38,72.62,57;4;1;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717582443000
666038ffca2df50192a4a4ac,,60,100,60,60.69,75;0;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717582079000
666038edca2df50192a4a401,,50.37,93.06,57.56,65.82,63;3;0;1,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717582061000
666038dbca2df50192a4a35b,,42.38,88.89,57.57,64.98,53;5;1;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717582043000
666038c9ca2df50192a4a2a9,,57.59,96.1,61.59,63.14,72;2;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717582025000
666038b1ca2df50192a4a1a8,,55.17,96.15,62.37,72.62,69;2;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717582001000
66602e3dca2df50192a43a57,,62.39,96.59,70.38,78.56,78;1;1;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717579325000
66602e2aca2df50192a439a6,,65.59,100,65.59,85.26,82;0;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717579306000
66602e18ca2df50192a4391a,,52.79,94.67,59.98,69.02,66;3;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717579288000
66602e07ca2df50192a43875,,50.4,90.79,60.8,77.83,63;5;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717579271000
66602df5ca2df50192a437be,,56.78,96.1,61.58,71.67,71;2;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717579253000
66602de3ca2df50192a43724,,50.37,94.67,59.96,82.11,63;2;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717579235000
66602dd1ca2df50192a4366a,,42.39,86.96,55.18,62.11,53;6;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717579217000
66602dbfca2df50192a435bb,,63.17,100,63.17,69.41,79;0;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717579199000
66602dadca2df50192a43528,,55.19,97.26,58.39,58.34,69;1;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717579181000
66602d9bca2df50192a43477,,35.17,81.16,55.15,61.29,44;9;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717579163000
66602d88ca2df50192a433be,,36.79,86.96,55.19,65.59,46;5;0;1,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717579144000
66602d75ca2df50192a43314,,53.59,95.95,59.18,64.16,67;2;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717579125000
66602271ca2df50192a3c6ac,,55.2,97.4,61.6,78.82,69;1;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717576305000
6660225fca2df50192a3c60c,,47.16,98.41,50.36,72.24,59;1;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717576287000
